Journal;Articles;Cites;IF(2023)
International Journal Of Biological Macromolecules;62;1424;7.7
ACS Applied Materials And Interfaces;54;2056;8.5
International Journal Of Nanomedicine;54;2221;6.7
Chemical Engineering Journal;37;1096;13.4
Advanced Healthcare Materials;32;502;10
Colloids And Surfaces B Biointerfaces;32;1425;5.4
Journal Of Drug Delivery Science And Technology;32;621;4.5
Acta Biomaterialia;31;1749;9.4
International Journal Of Pharmaceutics;31;831;5.3
Rsc Advances;27;599;3.9

